SO0_NRID;LONG;LAT
724196;3.412927876823289;50.91023548603749
724219;3.409087911323326;50.90387287903371
724231;3.407691498337442;50.90155915794425
724236;3.405464454516448;50.89822372396246
724241;3.404218167841321;50.89669132261359
724246;3.400313862493874;50.89704678865768
724262;3.40961148108741;50.90474054544096
724268;3.40453646285394;50.90185767550585
724275;3.401898188685067;50.90577586549282
724280;3.405805557834782;50.91117841179623
724286;3.405805557834782;50.91117841179623
724312;3.400140927877374;50.91373521387142
724323;3.398380262844938;50.92495792868316
724328;3.398333965388559;50.92756143187378
724340;3.395575522086574;50.93281513937045
724358;3.391129604583938;50.93755026289826
724364;3.391129604583938;50.93755026289826
724369;3.391129604583938;50.93755026289826
724389;3.427654212600203;50.93876146808631
724404;3.423524887997843;50.93541007509026
724410;3.423524887997843;50.93541007509026
724426;3.416305548604385;50.93502554684124
724449;3.417938555209304;50.92151178953925
724455;3.414851944642976;50.920461014442
724492;3.421500055126046;50.92401214710082
724513;3.443038244595698;50.90972849335267
724524;3.443038244595698;50.90972849335267
724530;3.443038244595698;50.90972849335267
724535;3.443038244595698;50.90972849335267
724546;3.443038244595698;50.90972849335267
724562;3.624032363141737;50.9359384024573
724579;3.641801735408364;50.95407741807309
724596;3.629181593474414;50.96487545511572
724612;3.632116716040088;50.96810858341657
724618;3.63100625793183;50.96689401843604
724623;3.633794998833935;50.9698906173465
724640;3.636013872515576;50.97315868748912
724663;3.654325878204816;50.97855854595855
724669;3.64106846540065;50.99176353833187
724690;3.666625001746354;51.00355943374024
724707;3.672022059639687;51.00391993947305
724712;3.67115738655724;51.00538732883749
724728;3.670598753278398;51.00643927986211
724739;3.670811176901793;51.00597428458326
724749;3.667886947855266;51.01210338600988
724764;3.649153499143949;51.03217159446611
724779;3.637390881420487;51.04388131119743
724784;3.632684200303231;51.0486407932207
724795;3.687864300284389;51.0128321249982
724801;3.687864300284389;51.0128321249982
724806;3.687864300284389;51.0128321249982
724812;3.687864300284389;51.0128321249982
724822;3.68222281905517;51.02207575405122
